endTime,artistName,trackName,msPlayed,uri
2021-05-21 23:28,Black Eyed Peas,RITMO (Bad Boys For Life) - Steve Aoki Remix,2662,6cg7xTJ0KnJS59h5RHWZ6K
2021-05-21 23:28,Anitta,Me Gusta (with Cardi B & Myke Towers),6101,7e1VoRlNumuEkXlITMHKLE
2021-05-21 23:29,Calvin Harris,Sweet Nothing (feat. Florence Welch),6310,24LS4lQShWyixJ0ZrJXfJ5
2021-05-21 23:32,Dua Lipa,Break My Heart,221820,017PF4Q3l4DBUiWoXk4OWT
2021-05-21 23:35,Don Diablo,Cutting Shapes,5223,3hENlPbIlUZXQ3MiosF87Q
2021-05-21 23:35,Calvin Harris,This Is What You Came For (feat. Rihanna),1954,0azC730Exh71aQlOt9Zj3y
2021-05-21 23:35,Sam Smith,I Feel Love,1483,0g9u89EycbSdQ3wHuzKItY
2021-05-21 23:35,Beyoncé,Crazy In Love - Homecoming Live,167347,10OaEuICuFoKLq48NoMblA
2021-05-21 23:35,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",11535,4w8niZpiMy6qz1mntFA5uM
2021-05-21 23:35,Lorde,Green Light,3560,6ie2Bw3xLj2JcGowOlcMhb
2021-05-21 23:36,NOTD,So Close,1975,7FjZU7XFs7P9jHI9Z0yRhK
2021-05-21 23:36,Beyoncé,Diva - Homecoming Live,658,7eOG24Nx7j4nI3f9nOZTOi
2021-05-21 23:39,NOTD,So Close,190302,7FjZU7XFs7P9jHI9Z0yRhK
2021-05-21 23:41,Beyoncé,Diva - Homecoming Live,165872,7eOG24Nx7j4nI3f9nOZTOi
2021-05-21 23:45,DJ Snake,Loco Contigo (feat. J. Balvin & Tyga),6274,6osaMSJh9NguagEDQcZaKx
2021-05-21 23:45,Loud Luxury,Aftertaste (Mixed),194285,3SrgHzUxU6n0XXmfakSlbI
2021-05-22 15:44,Shawn Mendes,Wonder,16416,1gLZSds3LpmJ4PdjuhLes9
2021-05-22 15:44,Meghan Trainor,Make You Dance,3587,7sXPiQV5ruT68CL8BisZNf
2021-05-22 15:47,Justin Bieber,Loved By You (feat. Burna Boy),159250,3vw444I3uzqwcEryeh5Z6H
2021-05-22 15:50,Ariana Grande,positions,172324,7igeByaBM0MgGsgXtNxDJ7
2021-05-22 15:50,Shawn Mendes,Intro,1582,6VtNRkDKegG5dhGHVptgDP
2021-05-22 15:50,Bebe Rexha,Sacrifice - Niiko x SWAE Remix,9007,6zGTf40sQZwh9WUv5orcJe
2021-05-22 15:50,Sam Feldt,Stronger (feat. Kesha) - Club Mix,2666,0Oul9Y7EepR2eOGZS8X2So
2021-05-22 15:52,Justin Bieber,2 Much,152788,0oaY19dUwZimIgzn3ZZLZO
2021-05-22 15:56,PRETTYMUCH,Phases,215759,3je88Q4OvTqIx7BFRFYvRA
2021-05-22 15:57,Ruel,Younger,80820,2qXicQG06oT0ijKBznpgQv
2021-05-22 15:58,Ariana Grande,pete davidson,73813,0XOnMqLQDO89iAg7dWWwnG
2021-05-22 15:59,Lauv,The Other,8993,0EAzlhtMYxRb6wbi6KnPjC
2021-05-22 16:02,Harry Styles,Watermelon Sugar,174000,6UelLqGlWMcVH1E5c4H7lY
2021-05-22 16:02,Joji,SLOW DANCING IN THE DARK,15889,0rKtyWc8bvkriBthvHKY8d
2021-05-22 16:02,Harry Styles,Fine Line,30812,6VzcQuzTNTMFnJ6rBSaLH9
2021-05-22 16:03,Lauv,Question,13828,6mDoM5FGbr1Or5nY9pTnLy
2021-05-22 16:03,Harry Styles,Lights Up,23661,4jAIqgrPjKLTY9Gbez25Qb
2021-05-22 16:06,Lauv,Reforget,3204,7FLQuyyCaIrBRqNt5l83U4
2021-05-22 16:06,Justin Bieber,Somebody,179414,5rqtv4ydUZIztLYmtfArOf
